ID,Brand,Model,Type,Connectivity,Driver Type,Freq Low (Hz),Freq High (Hz),Impedance (Ω),Sensitivity (dB),THD (%),Cable Length (m),Weight (g),Microphone,Noise Cancellation,Foldable,Battery (hrs),BT Version,Codecs,Charging Port,Water Rating,Color,Price (USD),Release Year,Warranty (yrs),Avg Rating,Review Count,Primary Use,Form Factor,Open/Closed
11,Rose,SE68,Wired,3.5mm,Dynamic,15,20000,18,101.3,0.0095,1.5,10.7,True,False,False,,,,,None,Silver,70,2016,3,4.4,1129,Studio/Pro,In-Ear,Closed
12,DUNU,HE 100 Open,Wired,3.5mm,Dynamic,4,35000,600,108,0.0149,1.2,388,False,False,False,,,,,None,Silver,110,2024,2,4.1,228,Hi-Fi/Reference,Over-Ear,Closed
13,1MORE,Go X,Wireless,Bluetooth,Dynamic,10,25000,40,96.9,0.0092,,141,True,False,False,42.7,5.3,"aptX HD,aptX,AAC,SBC",USB-C,IPX4,Midnight Blue,230,2020,1,4.3,1218,Hi-Fi/Reference,On-Ear,Open
14,KZ,T19,Wired,3.5mm,Dynamic,5,30000,120,94.1,0.0021,1.2,13.4,True,False,False,,,,,None,Cream,90,2016,2,3.9,4247,Studio/Pro,In-Ear,Closed
15,Sony,RHA35,Wired,3.5mm,Balanced Armature,20,22000,25,94.5,0.0073,1.2,25.1,False,False,False,,,,,IPX2,Titanium,420,2023,1,4.1,126,Gaming,In-Ear,Closed
16,HIFIMAN,HD 900,Wireless,Bluetooth,Dynamic,10,20000,16,102.4,0.0089,,342,True,True,False,57.9,5.2,"aptX,AAC,SBC",USB-C,IPX4,Rose Gold,180,2021,2,4.7,1374,Bass/Casual,Over-Ear,Open
17,UE,IE382,Wired,3.5mm,Dynamic,10,20000,25,104.2,0.007,1.2,14.3,True,False,False,,,,,IPX2,Gunmetal,80,2020,3,4.2,11116,Music/Casual,In-Ear,Closed
18,Creative,One 1000,Wireless,Bluetooth,Dynamic,5,25000,48,103.3,0.0135,,217,True,False,True,38.3,5.3,"LDAC,aptX,AAC,SBC",Lightning,IP55,Rose Gold,150,2024,1,4,1286,Budget/Everyday,Over-Ear,Closed
19,Microsoft,Wave,Wireless,Bluetooth,Dynamic,20,20000,18,111,0.0045,,5.1,True,True,True,34.5,4.2,SBC,USB-C,IPX2,Rose Gold,270,2021,2,4.8,14476,Bass/Casual,In-Ear,Closed
20,Monoprice,Signature 700,Wireless,Bluetooth,Planar,10,22000,32,98.7,0.0182,,215,True,False,True,53.7,5.2,"LDAC,aptX,AAC,SBC",USB-C,IP55,Silver,240,2019,1,4.5,397,Budget/Everyday,Over-Ear,Closed
21,Mpow,Everest Max,Wireless,Bluetooth,Dynamic,10,30000,64,106.5,0.0172,,297,True,False,True,60.7,5.3,"AAC,SBC",USB-C,None,Red,190,2023,2,4.7,1748,Commuting/Travel,Over-Ear,Open
22,Tribit,Aura 300,Wireless,Bluetooth,Balanced Armature,10,20000,32,101.6,0.0085,,4.4,True,True,True,33.3,4.2,"aptX HD,aptX,AAC,SBC",Lightning,IPX7,Indigo,220,2021,1,4.5,662,Work/Office,In-Ear,Closed
23,iBasso,DT 300X,Wired,3.5mm,Dynamic,15,20000,32,95.4,0.0053,1.2,104,True,False,False,,,,,None,Dark Green,110,2023,1,3.9,7010,Sport/Fitness,On-Ear,Closed
24,Focal,SE997,Wired,3.5mm,Hybrid,15,40000,64,116.4,0.0028,1.5,20.9,True,False,False,,,,,None,Sand,190,2019,1,4,8739,Gaming,In-Ear,Closed
25,Jabra,Sparks 5,Wireless,Bluetooth,Hybrid,20,22000,22,107.4,0.014,,10.2,True,True,False,29,5.2,"aptX Adaptive,aptX HD,AAC,SBC",Micro-USB,IP55,Space Gray,260,2021,2,4.1,6253,Studio/Pro,In-Ear,Closed
26,UE,RHA354,Wired,3.5mm,Dynamic,14,22000,32,112.3,0.0041,1.5,21.1,False,False,False,,,,,IPX2,Rose Gold,50,2020,3,4.8,801,Budget/Everyday,In-Ear,Closed
27,Creative,X 1000,Wireless,Bluetooth,Dynamic,12,25000,50,100.4,0.0082,,241,True,True,False,35.6,5.3,SBC,USB-C,IP54,Cream,160,2023,1,4.4,3506,Budget/Everyday,Over-Ear,Closed
28,Grado,Sparks 4,Wireless,Bluetooth,Hybrid,15,24000,16,111.7,0.0096,,9.6,True,False,False,23.4,5.2,"LDAC,AAC,SBC",USB-C,None,Cream,210,2019,2,4.4,1615,Commuting/Travel,In-Ear,Closed
29,Anker Soundcore,Air 1000,Wireless,Bluetooth,Dynamic,10,40000,18,109.3,0.0076,,11.3,True,True,False,13.4,5.0,"LDAC,AAC,SBC",USB-C,None,Navy,300,2020,2,3.8,7664,Music/Audiophile,In-Ear,Closed
30,Jabra,Air 100,Wireless,Bluetooth,Dynamic,5,40000,24,106.9,0.0164,,313,True,True,False,33,5.0,"aptX,AAC,SBC",Micro-USB,IPX4,Pearl White,170,2023,1,4.1,675,Music/Audiophile,Over-Ear,Closed
31,Technics,Aura Pro,Wireless,Bluetooth,Dynamic,20,40000,16,107.2,0.0137,,9.9,True,False,False,28.3,5.1,"aptX HD,aptX,AAC,SBC",USB-C,IP57,Cream,100,2022,1,4.8,9210,Work/Office,In-Ear,Closed
32,Plantronics,Drops 3,Wireless,Bluetooth,Planar,20,24000,22,108,0.0133,,6.6,True,True,True,57.6,5.2,"AAC,SBC",USB-C,IP55,Red,240,2023,2,4.2,581,Music/Casual,In-Ear,Closed
33,Beyerdynamic,T483,Wired,3.5mm,Dynamic,14,40000,8,95.7,0.0059,1.2,15.1,True,False,False,,,,,IPX2,Gunmetal,60,2023,1,4.4,10689,Bass/Casual,In-Ear,Closed
34,HyperX,Elite 2,Wireless,Bluetooth,Dynamic,18,30000,24,100.4,0.0055,,234,True,False,True,65.5,5.1,"LDAC,AAC,SBC",Micro-USB,IPX4,Titanium,240,2022,2,4.1,5016,Bass/Casual,Over-Ear,Open
35,Koss,Ultra Pro,Wireless,Bluetooth,Dynamic,20,35000,47,100.4,0.0085,,234,True,False,False,59.5,5.2,SBC,USB-C,IPX4,Brown,160,2023,1,4.1,9986,Music/Casual,Over-Ear,Open
36,Denon,Fit 2,Wireless,Bluetooth,Dynamic,10,22000,32,110.5,0.0146,,4.6,True,True,False,24.5,5.0,"aptX HD,aptX,AAC,SBC",USB-C,IP57,Pearl White,340,2024,1,4.4,5962,Budget/Everyday,In-Ear,Closed
37,Grado,MDR 800 Open,Wired,3.5mm,Planar,15,50000,47,98,0.011,1.2,216,False,False,False,,,,,None,Midnight Blue,420,2016,2,3.9,462,Hi-Fi/Reference,Over-Ear,Closed
38,Edifier,Flow 5,Wireless,Bluetooth,Balanced Armature,10,40000,22,108.1,0.0049,,7.5,True,True,False,21.4,5.3,"LHDC,AAC,SBC",USB-C,IPX4,Indigo,240,2020,2,4.3,660,Music/Audiophile,In-Ear,Closed
39,Philips,Bass,Wireless,Bluetooth,Hybrid,20,24000,18,107.3,0.0072,,9.1,True,True,False,26.2,4.2,"LDAC,AAC,SBC",Micro-USB,None,Gunmetal,340,2022,1,4.7,2795,Commuting/Travel,In-Ear,Closed
40,JBL,Bass 900,Wireless,Bluetooth,Planar,18,40000,22,109,0.0071,,4.9,True,True,True,39.9,5.2,SBC,Lightning,IPX4,Rose Gold,260,2018,1,4.5,4859,Commuting/Travel,In-Ear,Closed
41,EarFun,Nano,Wireless,Bluetooth,Dynamic,4,35000,48,98.6,0.0134,,317,True,True,True,46.4,5.2,"aptX HD,aptX,AAC,SBC",Micro-USB,IPX2,Graphite,390,2023,2,3.9,555,Budget/Everyday,Over-Ear,Open
42,Master & Dynamic,Series 1000,Wireless,Bluetooth,Dynamic,10,24000,18,105.3,0.0144,,10.8,True,False,True,26.7,5.0,"aptX HD,aptX,AAC,SBC",Lightning,IP54,Forest Green,260,2018,1,4.4,518,Budget/Everyday,In-Ear,Closed
43,Pioneer,Go 100,Wireless,Bluetooth,Dynamic,8,22000,32,104.8,0.0164,,307,True,False,True,26.8,5.3,"LDAC,aptX,AAC,SBC",USB-C,IP57,Champagne,190,2020,1,4.6,554,Studio/Pro,Over-Ear,Open
44,DUNU,DT 100 Studio,Wired,3.5mm,Dynamic,8,40000,600,92,0.0085,3,215,True,False,True,,,,,None,Pearl White,210,2024,2,4.8,118,Music/Casual,Over-Ear,Open
45,CCA,ER930,Wired,3.5mm,Dynamic,8,30000,120,109.9,0.0044,1.5,17.2,False,False,False,,,,,None,Silver,170,2023,3,3.7,24151,Music/Casual,In-Ear,Closed
46,OnePlus,Signature 1000,Wireless,Bluetooth,Dynamic,5,20000,64,95.2,0.0103,,334,True,False,True,33.7,5.1,"aptX,AAC,SBC",USB-C,IPX8,Graphite,160,2020,1,4.4,2184,Music/Casual,Over-Ear,Closed
47,Grado,Dots Pro,Wireless,Bluetooth,Planar,20,22000,16,104.2,0.0097,,4.9,True,True,True,23.9,5.0,"LDAC,AAC,SBC",Lightning,IPX2,Space Gray,330,2020,2,4.8,9861,Sport/Fitness,In-Ear,Closed
48,Fiio,E194,Wired,3.5mm,Hybrid,10,20000,16,114.4,0.0061,1.2,6.6,False,False,False,,,,,IPX2,Brown,200,2016,1,3.9,670,Work/Office,In-Ear,Closed
49,Empire Ears,N96,Wired,3.5mm,Dynamic,5,30000,100,108.5,0.0054,1.2,14.5,True,False,False,,,,,None,Indigo,70,2019,3,4.2,177,Bass/Casual,In-Ear,Closed
50,Sivga,SR 50,Wired,3.5mm,Planar,8,30000,150,92.2,0.0085,2.5,261,False,False,True,,,,,None,Space Gray,580,2022,3,4.6,6974,Music/Casual,Over-Ear,Closed
51,Focal,HE 50 Limited,Wired,3.5mm,Planar,18,22000,32,98.2,0.0066,1.5,139,False,False,False,,,,,None,Gunmetal,160,2024,1,4.1,554,Bass/Casual,On-Ear,Closed
52,Amazfit,Buds,Wireless,Bluetooth,Balanced Armature,10,22000,32,105.6,0.0098,,8.6,True,False,True,16.3,5.1,"AAC,SBC",USB-C,IPX7,Space Gray,140,2023,2,4.9,920,Budget/Everyday,In-Ear,Closed
53,64 Audio,E370,Wired,3.5mm,Dynamic,5,20000,32,113.3,0.0017,1,19.1,True,False,False,,,,,IPX4,Pearl White,140,2024,2,4.3,475,Gaming,In-Ear,Closed
54,AKG,RE115,Wired,3.5mm,Balanced Armature,15,22000,8,96.9,0.0049,1.2,17.1,False,False,False,,,,,IPX2,Silver,220,2018,2,4.1,341,Music/Audiophile,In-Ear,Closed
55,Edifier,Bass 700,Wireless,Bluetooth,Planar,15,24000,22,111.6,0.0114,,7.1,True,False,False,32.6,5.0,"aptX,AAC,SBC",USB-C,IPX7,Indigo,100,2022,1,4.2,14009,Music/Casual,In-Ear,Closed
56,1MORE,Air 500,Wireless,Bluetooth,Electrostatic,20,35000,64,104.3,0.012,,319,True,False,True,30.8,5.0,"AAC,SBC",USB-C,IPX4,Midnight Blue,100,2024,2,4.2,33611,Budget/Everyday,Over-Ear,Closed
57,Koss,X 2,Wireless,Bluetooth,Dynamic,12,40000,48,107.8,0.0108,,251,True,True,False,38.5,5.3,"LDAC,aptX,AAC,SBC",USB-C,IP55,Champagne,460,2021,2,4.6,3713,Commuting/Travel,Over-Ear,Closed
58,Kinera,ER738,Wired,3.5mm,Balanced Armature,5,22000,25,102.6,0.0056,1.2,7.1,False,False,False,,,,,None,Sand,670,2019,2,4.1,603,Music/Audiophile,In-Ear,Closed
59,Sennheiser,Apex 5,Wireless,Bluetooth,Electrostatic,4,20000,16,97.6,0.0172,,299,True,False,True,32.8,5.2,"LDAC,AAC,SBC",Micro-USB,IP55,Pearl White,200,2023,2,4.6,977,Music/Casual,Over-Ear,Closed
60,Grado,ER866,Wired,3.5mm,Dynamic,15,50000,18,110.1,0.0036,1,19.1,False,False,False,,,,,None,Dark Green,130,2019,3,4.4,100,Music/Casual,In-Ear,Closed
61,Status Audio,SRH 250,Wired,3.5mm,Electrostatic,15,22000,600,103.2,0.0063,1.2,323,False,False,False,,,,,None,Indigo,770,2021,1,4.9,842,Music/Audiophile,Over-Ear,Closed
62,Sennheiser,EW216,Wired,3.5mm,Dynamic,10,50000,64,117.7,0.0059,1.2,5.8,False,False,False,,,,,None,Brown,120,2019,2,4.5,3344,Gaming,In-Ear,Closed
63,Baseus,Everest 900,Wireless,Bluetooth,Planar,15,35000,64,96.5,0.008,,218,True,True,True,64.6,5.3,"LHDC,AAC,SBC",USB-C,IP54,Silver,230,2020,1,4.5,526,Commuting/Travel,Over-Ear,Open
64,Jomo Audio,RHA291,Wired,3.5mm,Planar,20,40000,32,104.4,0.0077,1,26.9,False,False,False,,,,,None,Silver,350,2018,3,3.7,150,Music/Casual,In-Ear,Closed
65,HiFiMAN,LCD 300 Limited,Wired,3.5mm,Dynamic,8,35000,150,101.7,0.0052,1.2,209,False,False,False,,,,,None,Cosmic Black,230,2018,2,4.7,1675,Work/Office,Over-Ear,Closed
66,JBL,ER148,Wired,3.5mm,Balanced Armature,5,30000,32,109.9,0.0059,1.2,25.5,True,False,False,,,,,None,Pearl White,410,2018,1,3.7,389,Commuting/Travel,In-Ear,Closed
67,Wyze,Series 300,Wireless,Bluetooth,Dynamic,10,22000,22,107.7,0.0084,,9.4,True,False,True,26.3,Multipoint 5.3,"AAC,SBC",Lightning,IP54,Titanium,170,2020,1,4.6,2570,Music/Casual,In-Ear,Closed
68,Anker Soundcore,Sparks 300,Wireless,Bluetooth,Hybrid,15,24000,18,107.5,0.0104,,4.7,True,True,False,36.6,5.2,SBC,USB-C,None,Forest Green,360,2023,1,4,5823,Sport/Fitness,In-Ear,Closed
69,JBL,Clear 5,Wireless,Bluetooth,Balanced Armature,18,24000,32,102.9,0.0127,,7.2,True,False,False,39,5.2,"aptX,AAC,SBC",USB-C,IPX8,Cream,150,2021,1,4,1307,Sport/Fitness,In-Ear,Closed
70,Nothing,Aura Pro,Wireless,Bluetooth,Hybrid,10,24000,32,103,0.0042,,6.3,True,False,True,25.5,5.3,"aptX HD,aptX,AAC,SBC",USB-C,IPX2,Pearl White,140,2021,2,4.7,638,Studio/Pro,In-Ear,Closed
71,Simgot,RE520,Wired,3.5mm,Hybrid,15,40000,18,96,0.0042,1,11.5,False,False,False,,,,,None,Carbon,160,2023,2,4.6,218,Music/Casual,In-Ear,Closed
72,Philips,Active 500,Wireless,Bluetooth,Electrostatic,5,22000,16,99.5,0.0165,,261,True,False,True,40.7,5.3,"LHDC,AAC,SBC",Lightning,IPX8,Gunmetal,110,2020,1,4.3,1808,Gaming,Over-Ear,Closed
73,HiFiMAN,N924,Wired,3.5mm,Dynamic,14,50000,25,106.6,0.0056,1.5,17.2,True,False,False,,,,,IPX2,Rose Gold,210,2020,2,4.1,2414,Sport/Fitness,In-Ear,Closed
74,HIFIMAN,Freedom 4,Wireless,Bluetooth,Balanced Armature,10,20000,18,100.2,0.0068,,5.2,True,False,False,19.2,5.3,"AAC,SBC",USB-C,IPX8,Navy,120,2023,1,4.5,3034,Bass/Casual,In-Ear,Closed
75,Bowers & Wilkins,Reference 3,Wireless,Bluetooth,Dynamic,10,35000,47,96.7,0.0072,,300,True,True,True,63.4,5.2,SBC,USB-C,IPX8,Indigo,270,2019,1,4.5,1731,Work/Office,Over-Ear,Closed
76,Audio-Technica,Pods Max,Wireless,Bluetooth,Dynamic,20,24000,32,102.6,0.0129,,6.2,True,False,False,40.8,5.1,SBC,USB-C,None,Red,90,2022,1,4.4,2289,Studio/Pro,In-Ear,Closed
77,V-MODA,Reference 200,Wireless,Bluetooth,Dynamic,8,25000,32,98,0.004,,338,True,False,True,42.5,5.0,"aptX HD,aptX,AAC,SBC",Micro-USB,IP55,Graphite,200,2023,2,4.5,9870,Hi-Fi/Reference,Over-Ear,Open
78,Moondrop,E19,Wired,3.5mm,Hybrid,10,40000,120,104.7,0.009,1,24.6,False,False,False,,,,,None,Brown,90,2023,2,3.7,200,Hi-Fi/Reference,In-Ear,Closed
79,Creative,Sport 5,Wireless,Bluetooth,Planar,5,22000,24,100.7,0.0189,,201,True,True,False,62.1,5.2,SBC,USB-C,None,Carbon,320,2021,1,4.8,415,Work/Office,Over-Ear,Closed
80,AKG,ER486,Wired,3.5mm,Hybrid,20,30000,32,107.2,0.003,1,16,True,False,False,,,,,IPX2,Midnight Blue,120,2023,3,4.4,6421,Bass/Casual,In-Ear,Closed
81,Jabra,Freedom 200,Wireless,Bluetooth,Dynamic,20,20000,18,108.6,0.0089,,11.2,True,False,False,20.4,5.3,"LDAC,AAC,SBC",USB-C,IPX4,Cosmic Black,130,2021,1,4.2,2436,Commuting/Travel,In-Ear,Closed
82,Status Audio,Pro 4,Wireless,Bluetooth,Dynamic,20,22000,18,109.2,0.0147,,9.2,True,True,False,14.1,4.2,SBC,USB-C,None,Sand,210,2021,1,4.7,1374,Gaming,In-Ear,Closed
83,Tribit,Sparks 300,Wireless,Bluetooth,Planar,20,22000,18,105.5,0.0049,,5.5,True,False,False,38.5,5.1,"aptX HD,aptX,AAC,SBC",Micro-USB,IP57,Titanium,190,2023,1,4.3,3563,Studio/Pro,In-Ear,Closed
84,1MORE,DCA 150,Wired,3.5mm,Planar,15,22000,120,100.2,0.0151,1.5,104,False,False,False,,,,,None,Sand,140,2018,3,3.6,12619,Bass/Casual,On-Ear,Closed
85,Denon,Drift 1000,Wireless,Bluetooth,Balanced Armature,15,22000,22,110.3,0.0047,,7.7,True,False,False,26.6,5.1,"aptX HD,aptX,AAC,SBC",USB-C,IP57,Graphite,260,2018,2,4.4,668,Gaming,In-Ear,Closed
86,Monolith,ER558,Wired,3.5mm,Planar,14,50000,8,114.5,0.0027,1.5,21.7,False,False,False,,,,,None,Forest Green,500,2024,1,4,839,Music/Casual,In-Ear,Closed
87,Moondrop,RHA487,Wired,3.5mm,Dynamic,10,50000,100,103,0.0082,1.5,15.8,False,False,False,,,,,IPX2,Forest Green,120,2021,1,4.1,1088,Commuting/Travel,In-Ear,Closed
88,Bang & Olufsen,Aura 1000,Wireless,Bluetooth,Hybrid,18,24000,32,111.6,0.0107,,7.9,True,True,False,25.8,5.0,"aptX HD,aptX,AAC,SBC",Lightning,IPX8,Indigo,270,2019,1,4.3,11783,Bass/Casual,In-Ear,Closed
89,Bowers & Wilkins,Clear X,Wireless,Bluetooth,Dynamic,20,24000,16,107.4,0.011,,8.9,True,True,False,21.4,Multipoint 5.3,"LDAC,AAC,SBC",USB-C,IPX2,Cosmic Black,200,2021,2,4.2,2004,Hi-Fi/Reference,In-Ear,Closed
90,Marshall,X 500,Wireless,Bluetooth,Dynamic,8,40000,24,98.2,0.0171,,215,True,False,False,32.2,5.2,"aptX HD,aptX,AAC,SBC",USB-C,IP54,Pearl White,170,2024,1,4.2,1578,Hi-Fi/Reference,Over-Ear,Closed
91,Denon,Sound 4,Wireless,Bluetooth,Balanced Armature,18,20000,16,108.2,0.0064,,8.3,True,False,False,47.6,5.0,"AAC,SBC",Micro-USB,IPX7,Graphite,90,2023,1,4.6,700,Bass/Casual,In-Ear,Closed
92,Skullcandy,Wave,Wireless,Bluetooth,Dynamic,20,24000,16,107.6,0.0124,,7.6,True,True,False,13.4,5.2,"LDAC,aptX,AAC,SBC",USB-C,IPX4,Gunmetal,290,2019,1,4.5,2596,Studio/Pro,In-Ear,Closed
93,HiFiMAN,HE 900Pro,Wired,3.5mm,Dynamic,4,30000,300,96.5,0.0055,1.5,231,False,False,False,,,,,None,Silver,240,2022,2,4.3,1240,Gaming,Over-Ear,Open
94,Tin HiFi,HE 990,Wired,3.5mm,Dynamic,12,40000,60,102.3,0.0042,2,305,False,False,False,,,,,None,Navy,90,2023,1,4.2,621,Gaming,Over-Ear,Closed
95,Pioneer,Reference 4,Wireless,Bluetooth,Dynamic,18,25000,47,105.4,0.0176,,375,True,True,True,33.4,5.2,"aptX Adaptive,aptX HD,AAC,SBC",Lightning,IP54,Brown,430,2019,1,4,7057,Budget/Everyday,Over-Ear,Closed
96,Meze,RHA297,Wired,3.5mm,Balanced Armature,15,22000,120,95,0.0079,1,26.9,False,False,False,,,,,IPX2,Midnight Blue,230,2023,1,4.4,580,Studio/Pro,In-Ear,Closed
97,TOZO,Zen 1000,Wireless,Bluetooth,Dynamic,4,25000,50,106.5,0.0121,,315,True,True,False,43.9,5.3,SBC,Micro-USB,IP54,Cream,260,2018,1,4.2,2481,Music/Casual,Over-Ear,Closed
98,KZ,HD 50,Wired,3.5mm,Electrostatic,12,50000,600,94,0.0069,2.5,470,True,False,False,,,,,None,Cream,170,2024,1,3.7,257,Studio/Pro,Over-Ear,Open
99,Sennheiser,Signature,Wireless,Bluetooth,Dynamic,5,40000,64,96.3,0.0197,,244,True,True,True,22,Multipoint 5.3,"aptX HD,aptX,AAC,SBC",USB-C,IPX4,Dark Green,280,2019,2,4.8,714,Hi-Fi/Reference,Over-Ear,Closed
100,Audio-Technica,SR 150 Monitor,Wired,3.5mm,Dynamic,20,20000,32,96.3,0.0156,1.2,138,False,False,False,,,,,None,Black,90,2024,1,3.9,53,Bass/Casual,On-Ear,Closed
101,Status Audio,SR 400,Wired,3.5mm,Electrostatic,15,50000,100,106.5,0.0097,1.5,310,False,False,False,,,,,None,Rose Gold,310,2019,2,3.8,462,Music/Casual,Over-Ear,Closed
102,Audio-Technica,Apex Max,Wireless,Bluetooth,Dynamic,20,20000,32,106.4,0.0123,,140,True,False,True,28.6,5.1,"AAC,SBC",USB-C,IPX4,Pearl White,100,2021,2,4.3,3465,Budget/Everyday,On-Ear,Closed
103,Grado,Active 700,Wireless,Bluetooth,Dynamic,10,24000,22,106.5,0.0121,,10.1,True,True,False,19.1,5.2,"AAC,SBC",Lightning,IP57,Midnight Blue,280,2021,2,3.9,27797,Commuting/Travel,In-Ear,Closed
104,JBL,Signature Pro,Wireless,Bluetooth,Dynamic,15,22000,48,95.9,0.0065,,237,True,False,True,55.7,5.3,"aptX Adaptive,aptX HD,AAC,SBC",Micro-USB,IPX7,Dark Green,210,2018,2,4.4,665,Bass/Casual,Over-Ear,Open
105,Shure,SE995,Wired,3.5mm,Balanced Armature,20,22000,16,97,0.0074,1,22.5,False,False,False,,,,,None,Forest Green,300,2022,2,4.4,649,Music/Casual,In-Ear,Closed
106,EarFun,Signature 2,Wireless,Bluetooth,Electrostatic,5,35000,47,97,0.0103,,238,True,False,False,58.2,5.0,"aptX HD,aptX,AAC,SBC",Micro-USB,IPX8,Red,170,2020,1,4.4,2355,Commuting/Travel,Over-Ear,Closed
107,Wyze,True 200,Wireless,Bluetooth,Balanced Armature,18,22000,22,101.1,0.0073,,4.7,True,True,False,56.1,5.2,"LDAC,aptX,AAC,SBC",Micro-USB,None,Dark Green,250,2023,1,4.5,4539,Music/Audiophile,In-Ear,Closed
108,Skullcandy,Sport 500,Wireless,Bluetooth,Dynamic,10,20000,32,96.1,0.0171,,130,True,False,True,49.2,5.0,"aptX HD,aptX,AAC,SBC",Micro-USB,None,Graphite,120,2020,1,4.6,15536,Music/Audiophile,On-Ear,Closed
109,Denon,Air 2,Wireless,Bluetooth,Electrostatic,6,20000,48,104.2,0.009,,277,True,False,False,27.9,5.2,"AAC,SBC",USB-C,None,Midnight Blue,120,2024,1,4.4,493,Sport/Fitness,Over-Ear,Closed
110,Bose,Drift Max,Wireless,Bluetooth,Hybrid,20,40000,16,102.9,0.0107,,4.6,True,True,False,19.9,5.2,"LHDC,AAC,SBC",Micro-USB,None,Navy,140,2018,1,4.6,2257,Budget/Everyday,In-Ear,Closed
111,Audio-Technica,N79,Wired,3.5mm,Dynamic,14,50000,25,107.6,0.0055,1.2,14.7,True,False,False,,,,,None,White,180,2022,1,4.3,328,Work/Office,In-Ear,Closed
112,Etymotic,E260,Wired,3.5mm,Dynamic,15,50000,8,98.7,0.0077,1.5,9,False,False,False,,,,,None,Pearl White,190,2016,1,3.8,8786,Hi-Fi/Reference,In-Ear,Closed
113,Turtle Beach,Aura Max,Wireless,Bluetooth,Dynamic,10,40000,32,106.1,0.0037,,10.9,True,False,True,40.9,5.1,"LDAC,AAC,SBC",USB-C,IPX4,Matte Black,130,2019,1,3.9,3130,Bass/Casual,In-Ear,Closed
114,Sony,Active 100,Wireless,Bluetooth,Dynamic,15,24000,18,105,0.0116,,6.2,True,True,False,19.6,4.2,"LDAC,AAC,SBC",Micro-USB,IPX8,Titanium,260,2018,2,4.7,344,Work/Office,In-Ear,Closed
115,Sony,Buds 500,Wireless,Bluetooth,Hybrid,15,22000,16,111.2,0.0033,,8.3,True,False,False,33.3,5.2,"aptX Adaptive,aptX HD,AAC,SBC",Lightning,IP55,Champagne,100,2023,1,4.4,25181,Studio/Pro,In-Ear,Closed
116,Cleer,Plus 300,Wireless,Bluetooth,Dynamic,5,35000,16,101.1,0.0138,,271,True,True,True,31,5.3,"AAC,SBC",Micro-USB,IPX4,Pearl White,190,2022,2,4.8,868,Music/Casual,Over-Ear,Closed
117,Meze,RE288,Wired,3.5mm,Balanced Armature,15,20000,16,93,0.005,1.2,14.3,True,False,False,,,,,None,Space Gray,270,2024,2,4,472,Work/Office,In-Ear,Closed
