product_name,brand,model,color,noise_cancellation,battery_hrs,bt_version,charging_port,water_rating,price_usd,release_year,warranty_yrs,avg_rating,review_count,primary_use,price_segment,rating_category,battery_category,warranty_category
Realme Buds T300,Realme,Buds T300,Cream,No,39,5.2,USB-C,IPX8,150,2021,1,4,1307,Sport/Fitness,Mid-Range,Good,Medium,Standard
Philips TAT1108,Philips,TAT1108,Pearl White,No,25.5,5.3,USB-C,IPX2,140,2021,2,4.7,638,Studio/Pro,Mid-Range,Excellent,Medium,Extended
Logitech Zone True Wireless,Logitech,Zone True Wireless,Navy,No,19.2,5.3,USB-C,IPX8,120,2023,1,4.5,3034,Bass/Casual,Mid-Range,Excellent,Low,Standard
Xiaomi Buds 4 Pro,Xiaomi,Buds 4 Pro,Red,No,40.8,5.1,USB-C,Not Rated,90,2022,1,4.4,2289,Studio/Pro,Budget,Good,High,Standard
Anker Soundcore Life P2,Anker Soundcore,Life P2,Cosmic Black,No,20.4,5.3,USB-C,IPX4,130,2021,1,4.2,2436,Commuting/Travel,Mid-Range,Good,Medium,Standard
Nothing Ear 2,Nothing,Ear 2,Sand,Yes,14.1,4.2,USB-C,Not Rated,210,2021,1,4.7,1374,Gaming,Mid-Range,Excellent,Low,Standard
CMF Buds Pro 2,CMF,Buds Pro 2,Titanium,No,38.5,5.1,Micro-USB,IP57,190,2023,1,4.3,3563,Studio/Pro,Mid-Range,Good,Medium,Standard
Sennheiser Momentum True Wireless 4,Sennheiser,Momentum True Wireless 4,Graphite,No,26.6,5.1,USB-C,IP57,260,2018,2,4.4,668,Gaming,Premium,Good,Medium,Extended
JBL Wave Buds,JBL,Wave Buds,Indigo,Yes,25.8,5.0,Lightning,IPX8,270,2019,1,4.3,11783,Bass/Casual,Premium,Good,Medium,Standard
boAt Nirvana Ion,boAt,Nirvana Ion,Cosmic Black,Yes,21.4,Multipoint 5.3,USB-C,IPX2,200,2021,2,4.2,2004,Hi-Fi/Reference,Mid-Range,Good,Medium,Extended
Nothing Ear 1,Nothing,Ear 1,Graphite,No,47.6,5.0,Micro-USB,IPX7,90,2023,1,4.6,700,Bass/Casual,Budget,Excellent,High,Standard
boAt Airdopes 131,boAt,Airdopes 131,Gunmetal,Yes,13.4,5.2,USB-C,IPX4,290,2019,1,4.5,2596,Studio/Pro,Premium,Excellent,Low,Standard
Samsung Galaxy Buds3 Pro,Samsung,Galaxy Buds3 Pro,Midnight Blue,Yes,19.1,5.2,Lightning,IP57,280,2021,2,3.9,27797,Commuting/Travel,Premium,Average,Low,Extended
Beats Studio Buds Plus,Beats,Studio Buds Plus,Dark Green,Yes,56.1,5.2,Micro-USB,Not Rated,250,2023,1,4.5,4539,Music/Audiophile,Premium,Excellent,High,Standard
CMF Buds Pro 2,CMF,Buds Pro 2,Navy,Yes,19.9,5.2,Micro-USB,Not Rated,140,2018,1,4.6,2257,Budget/Everyday,Mid-Range,Excellent,Low,Standard
JBL Tune Flex,JBL,Tune Flex,Matte Black,No,40.9,5.1,USB-C,IPX4,130,2019,1,3.9,3130,Bass/Casual,Mid-Range,Average,High,Standard
Xiaomi Buds 5 Pro,Xiaomi,Buds 5 Pro,Titanium,Yes,19.6,4.2,Micro-USB,IPX8,260,2018,2,4.7,344,Work/Office,Premium,Excellent,Low,Extended
Anker Soundcore Liberty 4 NC,Anker Soundcore,Liberty 4 NC,Champagne,No,33.3,5.2,Lightning,IP55,100,2023,1,4.4,25181,Studio/Pro,Mid-Range,Good,Medium,Standard
Apple AirPods 3,Apple,AirPods 3,Space Gray,Yes,10.7,5.0,Micro-USB,IP55,220,2022,2,4.2,1431,Work/Office,Mid-Range,Good,Low,Extended
Beats Studio Buds,Beats,Studio Buds,Forest Green,Yes,26.7,5.3,USB-C,Not Rated,240,2023,2,4.6,956,Gaming,Mid-Range,Excellent,Medium,Extended
Noise Buds VS104,Noise,Buds VS104,Black,Yes,19.4,5.1,USB-C,Not Rated,250,2019,2,3.9,3508,Hi-Fi/Reference,Premium,Average,Low,Extended
Boult X Mustang,Boult,X Mustang,Cream,Yes,28.9,5.3,USB-C,IPX8,190,2020,2,4.6,2112,Music/Audiophile,Mid-Range,Excellent,Medium,Extended
Apple AirPods Pro 2,Apple,AirPods Pro 2,Rose Gold,No,33.7,4.2,USB-C,IPX2,100,2021,2,4.3,1929,Studio/Pro,Mid-Range,Good,Medium,Extended
Jabra Elite 7 Pro,Jabra,Elite 7 Pro,Cosmic Black,Yes,14.2,4.2,USB-C,IP55,130,2019,1,4.1,247,Gaming,Mid-Range,Good,Low,Standard
OnePlus Buds Pro,OnePlus,Buds Pro,Black,Yes,27.4,5.3,USB-C,IPX7,190,2020,1,4.5,6640,Gaming,Mid-Range,Excellent,Medium,Standard
Nothing Ear (a),Nothing,Ear (a),Gunmetal,No,34.8,5.3,USB-C,IP57,150,2019,1,4.2,1116,Bass/Casual,Mid-Range,Good,Medium,Standard
Beats Studio Buds,Beats,Studio Buds,Red,Yes,27.9,5.3,Micro-USB,IPX8,250,2024,1,4.5,132,Music/Audiophile,Premium,Excellent,Medium,Standard
Beats Studio Buds Plus,Beats,Studio Buds Plus,Brown,No,45,5.2,USB-C,IP54,260,2022,1,4.5,351,Gaming,Premium,Excellent,High,Standard
Xiaomi Redmi Buds Essential,Xiaomi,Redmi Buds Essential,White,No,35.6,4.2,Micro-USB,IPX4,160,2024,1,4.3,1355,Music/Audiophile,Mid-Range,Good,Medium,Standard
Skullcandy Dime 3,Skullcandy,Dime 3,Sand,No,14.6,5.3,USB-C,IPX8,110,2019,2,4.2,6961,Work/Office,Mid-Range,Good,Low,Extended
Logitech G Fits,Logitech,G Fits,Pearl White,No,40.2,5.3,Lightning,Not Rated,140,2019,1,4.6,3186,Music/Audiophile,Mid-Range,Excellent,High,Standard
Skullcandy Sesh Evo,Skullcandy,Sesh Evo,Forest Green,Yes,31.9,5.0,Micro-USB,IP57,210,2019,1,4.7,16119,Hi-Fi/Reference,Mid-Range,Excellent,Medium,Standard
Redmi Buds 6,Redmi,Buds 6,Dark Green,Yes,17.6,5.3,USB-C,IPX8,190,2024,2,4.6,2375,Budget/Everyday,Mid-Range,Excellent,Low,Extended
Beats Studio Buds,Beats,Studio Buds,Pearl White,No,24.9,5.1,Lightning,IPX2,110,2022,1,3.9,1875,Budget/Everyday,Mid-Range,Average,Medium,Standard
Redmi Buds 5,Redmi,Buds 5,Champagne,Yes,45.9,5.1,Micro-USB,IPX8,230,2019,1,4.6,11492,Bass/Casual,Mid-Range,Excellent,High,Standard
Xiaomi Buds 4 Pro,Xiaomi,Buds 4 Pro,Gunmetal,Yes,28.9,Multipoint 5.3,USB-C,IP54,230,2021,2,4.7,482,Gaming,Mid-Range,Excellent,Medium,Extended
Edifier TWS1 Pro,Edifier,TWS1 Pro,Dark Green,Yes,20.6,5.2,USB-C,Not Rated,140,2018,1,4.3,2412,Commuting/Travel,Mid-Range,Good,Medium,Standard
Redmi Buds 6,Redmi,Buds 6,Matte Black,Yes,31.5,5.2,Lightning,IPX7,170,2019,2,4.4,592,Gaming,Mid-Range,Good,Medium,Extended
Realme Buds Air 6,Realme,Buds Air 6,Graphite,Yes,31.5,5.0,Micro-USB,IPX4,220,2022,2,4.7,106,Music/Casual,Mid-Range,Excellent,Medium,Extended
Sennheiser Momentum True Wireless 3,Sennheiser,Momentum True Wireless 3,Cream,Yes,30.5,5.0,Lightning,IPX4,160,2020,1,4.5,749,Music/Audiophile,Mid-Range,Excellent,Medium,Standard
Apple AirPods 3,Apple,AirPods 3,Cosmic Black,Yes,31.9,5.3,USB-C,IPX4,200,2018,2,4.6,7064,Hi-Fi/Reference,Mid-Range,Excellent,Medium,Extended
Boult Z20,Boult,Z20,Brown,No,20.5,5.0,Lightning,IP55,200,2021,1,4.5,2715,Bass/Casual,Mid-Range,Excellent,Medium,Standard
Beats Studio Buds,Beats,Studio Buds,Gunmetal,Yes,28.5,5.2,USB-C,IPX7,110,2018,1,4.2,2711,Music/Audiophile,Mid-Range,Good,Medium,Standard
Noise Air Buds Max,Noise,Air Buds Max,Midnight Blue,No,38.5,5.2,USB-C,IP55,160,2022,1,4.5,9044,Budget/Everyday,Mid-Range,Excellent,Medium,Standard
Sennheiser Momentum True Wireless 4,Sennheiser,Momentum True Wireless 4,Graphite,Yes,19.3,5.3,Micro-USB,IPX7,340,2021,1,4.4,4812,Music/Audiophile,Premium,Good,Low,Standard
Noise Air Buds Max,Noise,Air Buds Max,Matte Black,Yes,26.6,5.3,USB-C,Not Rated,270,2023,2,4.3,2441,Bass/Casual,Premium,Good,Medium,Extended
Nothing Ear 1,Nothing,Ear 1,Pearl White,No,22.4,5.3,USB-C,IPX4,140,2024,2,4.4,951,Work/Office,Mid-Range,Good,Medium,Extended
Boult Z40 Pro,Boult,Z40 Pro,Dark Green,No,24.5,5.1,USB-C,IPX8,170,2023,1,4.8,2898,Music/Audiophile,Mid-Range,Excellent,Medium,Standard
Beats Studio Buds Plus,Beats,Studio Buds Plus,Space Gray,Yes,46.8,5.3,USB-C,IPX8,160,2022,1,4.6,254,Music/Audiophile,Mid-Range,Excellent,High,Standard
Shokz OpenFit Air,Shokz,OpenFit Air,Matte Black,Yes,8.6,5.0,Micro-USB,IPX8,180,2022,2,4,4804,Sport/Fitness,Mid-Range,Good,Low,Extended
Skullcandy Sesh Evo,Skullcandy,Sesh Evo,Cosmic Black,Yes,55.9,Multipoint 5.3,USB-C,IP54,130,2018,2,4.1,2525,Work/Office,Mid-Range,Good,High,Extended
Skullcandy Dime 3,Skullcandy,Dime 3,Red,Yes,40,5.0,USB-C,IP55,150,2019,2,4,3724,Commuting/Travel,Mid-Range,Good,High,Extended
Edifier X5 Pro,Edifier,X5 Pro,Matte Black,Yes,14.3,Multipoint 5.3,Lightning,IP55,150,2023,2,3.8,85,Gaming,Mid-Range,Average,Low,Extended
Nothing Ear,Nothing,Ear,Midnight Blue,Yes,46.1,5.3,Lightning,IP57,240,2020,1,4.6,13280,Hi-Fi/Reference,Mid-Range,Excellent,High,Standard
Sony LinkBuds,Sony,LinkBuds,Matte Black,No,42.5,Multipoint 5.3,USB-C,IPX7,100,2021,2,4.5,615,Studio/Pro,Mid-Range,Excellent,High,Extended
Boult Z40,Boult,Z40,Pearl White,No,17.1,5.2,USB-C,IP55,180,2023,1,4.1,687,Bass/Casual,Mid-Range,Good,Low,Standard
pTron Bassbuds Tango,pTron,Bassbuds Tango,Graphite,No,26.5,4.2,USB-C,IP55,130,2023,1,4.2,5578,Budget/Everyday,Mid-Range,Good,Medium,Standard
Huawei FreeBuds 5i,Huawei,FreeBuds 5i,Cream,Yes,44.7,5.3,USB-C,Not Rated,240,2021,2,3.8,340,Budget/Everyday,Mid-Range,Average,High,Extended
Beats Studio Buds Plus,Beats,Studio Buds Plus,Champagne,Yes,43.5,5.3,USB-C,IPX8,250,2019,2,4.5,1657,Gaming,Premium,Excellent,High,Extended
Redmi Buds 5,Redmi,Buds 5,Indigo,Yes,42.3,Multipoint 5.3,USB-C,IPX7,130,2023,1,4.5,3340,Gaming,Mid-Range,Excellent,High,Standard
Noise Combat X,Noise,Combat X,Brown,No,27.3,5.2,USB-C,IP57,180,2018,1,4.7,1712,Work/Office,Mid-Range,Excellent,Medium,Standard
Edifier TWS1 Pro,Edifier,TWS1 Pro,Indigo,Yes,39.3,5.2,USB-C,Not Rated,290,2024,1,3.6,692,Music/Casual,Premium,Average,Medium,Standard
Xiaomi Redmi Buds Essential,Xiaomi,Redmi Buds Essential,Red,No,27,5.3,Micro-USB,Not Rated,140,2020,2,4.9,6490,Gaming,Mid-Range,Excellent,Medium,Extended
Jabra Elite 5,Jabra,Elite 5,Red,No,21.9,5.2,Lightning,IPX2,170,2018,2,4.3,1516,Sport/Fitness,Mid-Range,Good,Medium,Extended
Logitech G Fits,Logitech,G Fits,Cosmic Black,Yes,48.6,5.2,USB-C,Not Rated,230,2018,1,4.5,7704,Sport/Fitness,Mid-Range,Excellent,High,Standard
JBL Vibe Beam,JBL,Vibe Beam,Midnight Blue,Yes,11,5.3,Lightning,IPX8,210,2022,1,4.3,6720,Studio/Pro,Mid-Range,Good,Low,Standard
Sennheiser CX Plus,Sennheiser,CX Plus,Black,Yes,28.2,5.3,Micro-USB,Not Rated,330,2020,1,4.1,405,Work/Office,Premium,Good,Medium,Standard
Realme Buds T300,Realme,Buds T300,Pearl White,No,29.4,5.2,Micro-USB,IPX4,160,2018,1,3.6,2639,Music/Casual,Mid-Range,Average,Medium,Standard
Logitech Zone True Wireless,Logitech,Zone True Wireless,Gunmetal,Yes,35.1,5.3,USB-C,IP54,250,2018,2,4,457,Studio/Pro,Premium,Good,Medium,Extended
Edifier X3,Edifier,X3,Dark Green,No,12.1,5.2,USB-C,IPX2,210,2023,2,3.8,572,Bass/Casual,Mid-Range,Average,Low,Extended
pTron Bassbuds Duo,pTron,Bassbuds Duo,Dark Green,Yes,22,5.0,USB-C,Not Rated,130,2020,1,4.1,1278,Bass/Casual,Mid-Range,Good,Medium,Standard
Huawei FreeBuds 4i,Huawei,FreeBuds 4i,Pearl White,Yes,40,5.3,USB-C,IP54,190,2022,1,3.9,2230,Sport/Fitness,Mid-Range,Average,High,Standard
Oppo Enco X,Oppo,Enco X,Rose Gold,Yes,28.7,5.2,USB-C,IP54,210,2020,2,4.7,761,Work/Office,Mid-Range,Excellent,Medium,Extended
OnePlus Nord Buds 2R,OnePlus,Nord Buds 2R,Matte Black,No,39.2,5.1,USB-C,IP54,100,2019,2,4.4,2216,Gaming,Mid-Range,Good,Medium,Extended
Sony LinkBuds S,Sony,LinkBuds S,Gunmetal,No,20.4,5.0,USB-C,IP54,210,2020,2,4.5,615,Music/Casual,Mid-Range,Excellent,Medium,Extended
boAt Nirvana Zenith,boAt,Nirvana Zenith,Forest Green,No,31.4,5.2,USB-C,Not Rated,80,2018,1,3.9,4081,Hi-Fi/Reference,Budget,Average,Medium,Standard
Jabra Elite 8 Active,Jabra,Elite 8 Active,Carbon,No,19.3,5.0,USB-C,IPX8,130,2024,2,4.4,2400,Bass/Casual,Mid-Range,Good,Low,Extended
Anker Soundcore Life P3,Anker Soundcore,Life P3,Champagne,No,10.9,Multipoint 5.3,USB-C,IPX2,210,2021,1,3.8,320,Studio/Pro,Mid-Range,Average,Low,Standard
Philips TAT1108,Philips,TAT1108,Indigo,No,27.1,Multipoint 5.3,Lightning,IP57,160,2018,2,4.2,7867,Commuting/Travel,Mid-Range,Good,Medium,Extended
Apple AirPods Pro,Apple,AirPods Pro,Graphite,Yes,22.9,5.2,Lightning,IPX2,130,2022,1,4.6,1060,Budget/Everyday,Mid-Range,Excellent,Medium,Standard
Sony WF-1000XM5,Sony,WF-1000XM5,White,No,33.8,5.2,Micro-USB,IPX4,120,2018,1,4.8,3579,Hi-Fi/Reference,Mid-Range,Excellent,Medium,Standard
Sony LinkBuds S,Sony,LinkBuds S,Sand,Yes,31.2,4.2,USB-C,IP57,240,2018,2,4.3,3042,Sport/Fitness,Mid-Range,Good,Medium,Extended
Redmi Buds 4,Redmi,Buds 4,Space Gray,No,32.2,5.1,Micro-USB,IP57,150,2023,1,4.1,3878,Budget/Everyday,Mid-Range,Good,Medium,Standard
pTron Bassbuds Jade,pTron,Bassbuds Jade,Brown,Yes,53.9,5.1,Lightning,IPX2,310,2023,2,4,2417,Work/Office,Premium,Good,High,Extended
Sennheiser CX Plus,Sennheiser,CX Plus,Gunmetal,Yes,35.5,5.0,Lightning,IP57,240,2021,1,4,2311,Sport/Fitness,Mid-Range,Good,Medium,Standard
Huawei FreeBuds Pro 2,Huawei,FreeBuds Pro 2,Dark Green,No,46.7,5.0,USB-C,Not Rated,130,2018,2,4.6,18548,Studio/Pro,Mid-Range,Excellent,High,Extended
Noise Buds VS402,Noise,Buds VS402,Black,No,24.2,5.0,USB-C,IP54,90,2021,1,4.4,888,Music/Casual,Budget,Good,Medium,Standard
Huawei FreeBuds Pro 2,Huawei,FreeBuds Pro 2,Forest Green,Yes,14.4,5.0,Micro-USB,IPX4,270,2018,2,4.4,26849,Hi-Fi/Reference,Premium,Good,Low,Extended
Shokz OpenFit,Shokz,OpenFit,Forest Green,No,39.8,5.0,USB-C,Not Rated,110,2018,1,3.9,5743,Budget/Everyday,Mid-Range,Average,Medium,Standard
Sony LinkBuds,Sony,LinkBuds,Indigo,No,21.9,5.0,USB-C,IPX7,120,2024,1,4.5,1730,Gaming,Mid-Range,Excellent,Medium,Standard
Skullcandy Dime 3,Skullcandy,Dime 3,Gunmetal,No,20,5.3,Micro-USB,IPX4,120,2018,1,4.5,1666,Sport/Fitness,Mid-Range,Excellent,Medium,Standard
Edifier NeoBuds Pro,Edifier,NeoBuds Pro,Silver,Yes,20.7,Multipoint 5.3,USB-C,IP57,260,2024,1,4.4,6996,Sport/Fitness,Premium,Good,Medium,Standard
Sennheiser CX True Wireless,Sennheiser,CX True Wireless,Matte Black,Yes,34.4,5.3,USB-C,IPX4,270,2018,1,4.4,1155,Work/Office,Premium,Good,Medium,Standard
CMF Buds,CMF,Buds,Sand,Yes,23.4,4.2,USB-C,Not Rated,300,2024,2,4.8,994,Music/Casual,Premium,Excellent,Medium,Extended
Realme Buds T310,Realme,Buds T310,Cream,Yes,53.4,5.1,USB-C,Not Rated,170,2020,2,3.6,746,Sport/Fitness,Mid-Range,Average,High,Extended
Skullcandy Dime 3,Skullcandy,Dime 3,Space Gray,No,28.5,4.2,USB-C,Not Rated,110,2022,2,4.2,1675,Bass/Casual,Mid-Range,Good,Medium,Extended
boAt Nirvana Ion,boAt,Nirvana Ion,Indigo,Yes,27.4,5.2,Micro-USB,IPX4,170,2024,1,4.4,1346,Studio/Pro,Mid-Range,Good,Medium,Standard
Samsung Galaxy Buds3,Samsung,Galaxy Buds3,White,Yes,15.2,5.0,USB-C,IPX8,350,2018,1,4.2,44796,Music/Casual,Premium,Good,Low,Standard
Boult Z40,Boult,Z40,Gunmetal,No,22.5,5.0,USB-C,IPX4,170,2020,1,4.2,2870,Music/Audiophile,Mid-Range,Good,Medium,Standard
Philips TAT3508,Philips,TAT3508,Graphite,Yes,53.7,5.1,USB-C,Not Rated,210,2023,1,4.4,244,Work/Office,Mid-Range,Good,High,Standard
Noise Air Buds Lite,Noise,Air Buds Lite,White,No,39.3,5.1,USB-C,IPX4,170,2021,2,4.2,507,Hi-Fi/Reference,Mid-Range,Good,Medium,Extended
boAt Airdopes 311 Pro,boAt,Airdopes 311 Pro,Cosmic Black,Yes,13.8,5.2,USB-C,IP54,170,2022,1,4.4,682,Studio/Pro,Mid-Range,Good,Low,Standard
Redmi Buds 5,Redmi,Buds 5,Silver,Yes,19.5,5.3,Lightning,IPX4,230,2022,2,4.4,4232,Studio/Pro,Mid-Range,Good,Low,Extended
Noise Air Buds Pro,Noise,Air Buds Pro,Space Gray,Yes,19.5,4.2,Lightning,Not Rated,240,2020,1,4,3946,Hi-Fi/Reference,Mid-Range,Good,Low,Standard
CMF Buds,CMF,Buds,Indigo,Yes,17.5,5.3,USB-C,IPX7,230,2019,2,3.9,6478,Work/Office,Mid-Range,Average,Low,Extended
Beats Fit Pro,Beats,Fit Pro,Red,No,29.6,5.0,USB-C,IPX2,90,2019,1,4.5,12950,Hi-Fi/Reference,Budget,Excellent,Medium,Standard
Samsung Galaxy Buds3,Samsung,Galaxy Buds3,Brown,No,23.4,5.3,USB-C,IP55,140,2019,2,3.8,3331,Hi-Fi/Reference,Mid-Range,Average,Medium,Extended
Redmi Buds 5,Redmi,Buds 5,Cream,No,26.5,5.1,Micro-USB,IPX4,140,2024,1,4.8,1132,Studio/Pro,Mid-Range,Excellent,Medium,Standard
Boult Z20,Boult,Z20,Space Gray,No,21.9,5.0,Micro-USB,IPX2,200,2021,2,4.4,551,Sport/Fitness,Mid-Range,Good,Medium,Extended
JBL Wave Buds,JBL,Wave Buds,Pearl White,Yes,27.2,5.0,USB-C,IPX8,270,2021,1,3.6,3958,Sport/Fitness,Premium,Average,Medium,Standard
Sennheiser Momentum True Wireless 4,Sennheiser,Momentum True Wireless 4,Dark Green,No,22,5.3,USB-C,Not Rated,160,2023,2,4.3,4337,Gaming,Mid-Range,Good,Medium,Extended
Samsung Galaxy Buds Live,Samsung,Galaxy Buds Live,Rose Gold,Yes,24.6,5.0,Lightning,IP54,260,2023,2,4.6,631,Hi-Fi/Reference,Premium,Excellent,Medium,Extended
Sennheiser CX Plus,Sennheiser,CX Plus,Black,Yes,43.2,5.0,USB-C,IP57,200,2021,2,4.9,4661,Bass/Casual,Mid-Range,Excellent,High,Extended
Anker Soundcore Liberty 4,Anker Soundcore,Liberty 4,Forest Green,Yes,46.6,5.2,USB-C,IPX8,250,2021,1,4.5,2232,Music/Audiophile,Premium,Excellent,High,Standard
Realme Buds T300,Realme,Buds T300,Black,Yes,55.6,5.3,USB-C,IPX4,200,2021,2,3.7,1314,Studio/Pro,Mid-Range,Average,High,Extended
Samsung Galaxy Buds2 Pro,Samsung,Galaxy Buds2 Pro,Gunmetal,Yes,13.8,5.0,USB-C,IP55,240,2021,1,4.2,650,Sport/Fitness,Mid-Range,Good,Low,Standard
CMF Buds Pro 2,CMF,Buds Pro 2,Champagne,Yes,25.7,Multipoint 5.3,USB-C,IPX4,180,2020,2,4.2,507,Music/Audiophile,Mid-Range,Good,Medium,Extended
Logitech G Fits,Logitech,G Fits,Cosmic Black,No,14.1,5.0,USB-C,Not Rated,150,2021,1,4.3,2198,Hi-Fi/Reference,Mid-Range,Good,Low,Standard
Logitech G Fits,Logitech,G Fits,Silver,Yes,20.6,5.3,USB-C,IPX4,160,2023,2,4.2,450,Gaming,Mid-Range,Good,Medium,Extended
Nothing Ear 2,Nothing,Ear 2,Rose Gold,Yes,52.2,5.3,USB-C,IPX2,270,2019,2,4.5,1335,Sport/Fitness,Premium,Excellent,High,Extended
Noise Buds VS402,Noise,Buds VS402,Forest Green,No,52.8,5.3,Micro-USB,Not Rated,100,2024,1,4.3,112,Studio/Pro,Mid-Range,Good,High,Standard
Noise Combat Z,Noise,Combat Z,Matte Black,No,55.8,5.3,Lightning,Not Rated,110,2021,1,4.6,2353,Sport/Fitness,Mid-Range,Excellent,High,Standard
Oppo Enco X2,Oppo,Enco X2,Gunmetal,Yes,24.8,5.2,USB-C,IP54,360,2020,2,4.3,8124,Commuting/Travel,Premium,Good,Medium,Extended
JBL Wave Beam,JBL,Wave Beam,Brown,No,37.2,Multipoint 5.3,USB-C,IP54,180,2021,1,3.6,1436,Work/Office,Mid-Range,Average,Medium,Standard
pTron Bassbuds Duo,pTron,Bassbuds Duo,White,Yes,17.1,5.0,USB-C,Not Rated,120,2023,2,4.4,1007,Sport/Fitness,Mid-Range,Good,Low,Extended
Sennheiser Momentum True Wireless 3,Sennheiser,Momentum True Wireless 3,Titanium,Yes,48.7,5.2,USB-C,Not Rated,310,2024,1,4.6,3631,Music/Casual,Premium,Excellent,High,Standard
Jabra Elite 7 Pro,Jabra,Elite 7 Pro,Pearl White,Yes,21.8,5.3,Lightning,IPX4,150,2022,1,4.1,2031,Bass/Casual,Mid-Range,Good,Medium,Standard
Redmi Buds 4,Redmi,Buds 4,Carbon,No,32.2,Multipoint 5.3,Micro-USB,IPX4,170,2021,2,4,978,Work/Office,Mid-Range,Good,Medium,Extended
pTron Bassbuds Jade,pTron,Bassbuds Jade,Cosmic Black,Yes,29.8,5.0,USB-C,IP54,270,2021,1,4,2520,Commuting/Travel,Premium,Good,Medium,Standard
Nothing Ear,Nothing,Ear,Graphite,Yes,39.2,Multipoint 5.3,Lightning,IPX2,340,2023,2,4.4,1142,Music/Audiophile,Premium,Good,Medium,Extended
Oppo Enco Air 2,Oppo,Enco Air 2,Brown,Yes,26.3,Multipoint 5.3,USB-C,Not Rated,200,2021,1,4.7,468,Studio/Pro,Mid-Range,Excellent,Medium,Standard
