brand,model,type,connectivity,driver_type,freq_low_hz,freq_high_hz,impedance_ohm,sensitivity_db,thd_percent,weight_g,microphone,noise_cancellation,foldable,battery_hrs,bt_version,codecs,charging_port,water_rating,color,price_usd,release_year,warranty_yrs,avg_rating,review_count,primary_use,form_factor,price_segment,rating_category,battery_category,warranty_category,product_name
Sennheiser,Momentum True Wireless 4,Wireless,Bluetooth,Balanced Armature,10,40000,22,106.7,0.0129,5.4,True,True,False,19.3,5.3,"aptX HD,aptX,AAC,SBC",Micro-USB,IPX7,Graphite,340,2021,1,4.4,4812,Music/Audiophile,In-Ear,Premium,Good,Low,Standard,Sennheiser Momentum True Wireless 4
Noise,Air Buds Max,Wireless,Bluetooth,Planar,20,24000,16,107.0,0.0145,4.6,True,True,False,26.6,5.3,"aptX Adaptive,aptX HD,AAC,SBC",USB-C,Not Rated,Matte Black,270,2023,2,4.3,2441,Bass/Casual,In-Ear,Premium,Good,Medium,Extended,Noise Air Buds Max
Nothing,Ear 1,Wireless,Bluetooth,Dynamic,20,24000,16,101.2,0.0094,6.8,True,False,False,22.4,5.3,"AAC,SBC",USB-C,IPX4,Pearl White,140,2024,2,4.4,951,Work/Office,In-Ear,Mid-Range,Good,Medium,Extended,Nothing Ear 1
Boult,Z40 Pro,Wireless,Bluetooth,Dynamic,10,24000,22,101.0,0.0085,10.1,True,False,False,24.5,5.1,"aptX HD,aptX,AAC,SBC",USB-C,IPX8,Dark Green,170,2023,1,4.8,2898,Music/Audiophile,In-Ear,Mid-Range,Excellent,Medium,Standard,Boult Z40 Pro
Beats,Studio Buds Plus,Wireless,Bluetooth,Balanced Armature,10,22000,16,110.9,0.0128,4.8,True,True,True,46.8,5.3,"aptX,AAC,SBC",USB-C,IPX8,Space Gray,160,2022,1,4.6,254,Music/Audiophile,In-Ear,Mid-Range,Excellent,High,Standard,Beats Studio Buds Plus
Shokz,OpenFit Air,Wireless,Bluetooth,Balanced Armature,18,40000,32,108.3,0.0055,9.1,True,True,False,8.6,5.0,SBC,Micro-USB,IPX8,Matte Black,180,2022,2,4.0,4804,Sport/Fitness,In-Ear,Mid-Range,Good,Low,Extended,Shokz OpenFit Air
Skullcandy,Sesh Evo,Wireless,Bluetooth,Dynamic,20,40000,16,105.4,0.0059,8.5,True,True,True,55.9,Multipoint 5.3,SBC,USB-C,IP54,Cosmic Black,130,2018,2,4.1,2525,Work/Office,In-Ear,Mid-Range,Good,High,Extended,Skullcandy Sesh Evo
Skullcandy,Dime 3,Wireless,Bluetooth,Dynamic,18,20000,18,104.2,0.0085,5.3,True,True,True,40.0,5.0,"aptX,AAC,SBC",USB-C,IP55,Red,150,2019,2,4.0,3724,Commuting/Travel,In-Ear,Mid-Range,Good,High,Extended,Skullcandy Dime 3
Edifier,X5 Pro,Wireless,Bluetooth,Balanced Armature,20,24000,32,111.7,0.0128,7.0,True,True,False,14.3,Multipoint 5.3,"aptX Adaptive,aptX HD,AAC,SBC",Lightning,IP55,Matte Black,150,2023,2,3.8,85,Gaming,In-Ear,Mid-Range,Average,Low,Extended,Edifier X5 Pro
Nothing,Ear,Wireless,Bluetooth,Dynamic,20,40000,16,101.4,0.0046,4.1,True,True,True,46.1,5.3,SBC,Lightning,IP57,Midnight Blue,240,2020,1,4.6,13280,Hi-Fi/Reference,In-Ear,Mid-Range,Excellent,High,Standard,Nothing Ear
Sony,LinkBuds,Wireless,Bluetooth,Balanced Armature,18,40000,22,105.7,0.0102,7.2,True,False,True,42.5,Multipoint 5.3,"AAC,SBC",USB-C,IPX7,Matte Black,100,2021,2,4.5,615,Studio/Pro,In-Ear,Mid-Range,Excellent,High,Extended,Sony LinkBuds
Boult,Z40,Wireless,Bluetooth,Dynamic,10,20000,18,106.7,0.0133,6.4,True,False,False,17.1,5.2,"aptX Adaptive,aptX HD,AAC,SBC",USB-C,IP55,Pearl White,180,2023,1,4.1,687,Bass/Casual,In-Ear,Mid-Range,Good,Low,Standard,Boult Z40
pTron,Bassbuds Tango,Wireless,Bluetooth,Hybrid,20,24000,32,110.5,0.0128,10.6,True,False,False,26.5,4.2,"aptX,AAC,SBC",USB-C,IP55,Graphite,130,2023,1,4.2,5578,Budget/Everyday,In-Ear,Mid-Range,Good,Medium,Standard,pTron Bassbuds Tango
Huawei,FreeBuds 5i,Wireless,Bluetooth,Dynamic,15,20000,32,102.4,0.0114,5.4,True,True,True,44.7,5.3,"LDAC,aptX,AAC,SBC",USB-C,Not Rated,Cream,240,2021,2,3.8,340,Budget/Everyday,In-Ear,Mid-Range,Average,High,Extended,Huawei FreeBuds 5i
Beats,Studio Buds Plus,Wireless,Bluetooth,Planar,20,22000,32,109.5,0.0033,11.8,True,True,True,43.5,5.3,"LDAC,aptX,AAC,SBC",USB-C,IPX8,Champagne,250,2019,2,4.5,1657,Gaming,In-Ear,Premium,Excellent,High,Extended,Beats Studio Buds Plus
Redmi,Buds 5,Wireless,Bluetooth,Dynamic,15,20000,18,105.0,0.0039,10.1,True,True,True,42.3,Multipoint 5.3,SBC,USB-C,IPX7,Indigo,130,2023,1,4.5,3340,Gaming,In-Ear,Mid-Range,Excellent,High,Standard,Redmi Buds 5
Noise,Combat X,Wireless,Bluetooth,Dynamic,20,22000,18,111.2,0.0093,9.2,True,False,False,27.3,5.2,"aptX HD,aptX,AAC,SBC",USB-C,IP57,Brown,180,2018,1,4.7,1712,Work/Office,In-Ear,Mid-Range,Excellent,Medium,Standard,Noise Combat X
Edifier,TWS1 Pro,Wireless,Bluetooth,Dynamic,15,20000,22,105.0,0.0136,9.6,True,True,False,39.3,5.2,"aptX,AAC,SBC",USB-C,Not Rated,Indigo,290,2024,1,3.6,692,Music/Casual,In-Ear,Premium,Average,Medium,Standard,Edifier TWS1 Pro
Xiaomi,Redmi Buds Essential,Wireless,Bluetooth,Balanced Armature,18,24000,16,100.6,0.0108,5.0,True,False,False,27.0,5.3,"aptX HD,aptX,AAC,SBC",Micro-USB,Not Rated,Red,140,2020,2,4.9,6490,Gaming,In-Ear,Mid-Range,Excellent,Medium,Extended,Xiaomi Redmi Buds Essential
Jabra,Elite 5,Wireless,Bluetooth,Balanced Armature,20,20000,18,108.5,0.0129,4.7,True,False,False,21.9,5.2,SBC,Lightning,IPX2,Red,170,2018,2,4.3,1516,Sport/Fitness,In-Ear,Mid-Range,Good,Medium,Extended,Jabra Elite 5
Logitech,G Fits,Wireless,Bluetooth,Planar,15,40000,32,101.6,0.0115,10.9,True,True,False,48.6,5.2,"AAC,SBC",USB-C,Not Rated,Cosmic Black,230,2018,1,4.5,7704,Sport/Fitness,In-Ear,Mid-Range,Excellent,High,Standard,Logitech G Fits
JBL,Vibe Beam,Wireless,Bluetooth,Planar,10,22000,16,111.5,0.0093,10.0,True,True,True,11.0,5.3,"LHDC,AAC,SBC",Lightning,IPX8,Midnight Blue,210,2022,1,4.3,6720,Studio/Pro,In-Ear,Mid-Range,Good,Low,Standard,JBL Vibe Beam
Sennheiser,CX Plus,Wireless,Bluetooth,Dynamic,10,40000,22,107.2,0.0131,7.0,True,True,True,28.2,5.3,"LHDC,AAC,SBC",Micro-USB,Not Rated,Black,330,2020,1,4.1,405,Work/Office,In-Ear,Premium,Good,Medium,Standard,Sennheiser CX Plus
Realme,Buds T300,Wireless,Bluetooth,Hybrid,18,22000,22,104.1,0.0085,8.8,True,False,True,29.4,5.2,"aptX Adaptive,aptX HD,AAC,SBC",Micro-USB,IPX4,Pearl White,160,2018,1,3.6,2639,Music/Casual,In-Ear,Mid-Range,Average,Medium,Standard,Realme Buds T300
Logitech,Zone True Wireless,Wireless,Bluetooth,Dynamic,18,40000,18,110.1,0.0127,11.9,True,True,False,35.1,5.3,"aptX HD,aptX,AAC,SBC",USB-C,IP54,Gunmetal,250,2018,2,4.0,457,Studio/Pro,In-Ear,Premium,Good,Medium,Extended,Logitech Zone True Wireless
Edifier,X3,Wireless,Bluetooth,Balanced Armature,20,20000,22,106.8,0.0089,8.4,True,False,False,12.1,5.2,"LDAC,aptX,AAC,SBC",USB-C,IPX2,Dark Green,210,2023,2,3.8,572,Bass/Casual,In-Ear,Mid-Range,Average,Low,Extended,Edifier X3
